"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;Documentation sur support;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Titres;;;;;;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SuppTitLiv;CollS1;;Livres imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;3 000 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitPer;CollS5;;Périodiques imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;300 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitAut;CollS8;;Autres documents sur support matériel;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;10 000 000;N-Bl;;-5%;5%;SD;
;;;;SuppTitTot;nouveau;;s/total titres;;;;SO;;Calculée;SuppTitLiv + SuppTitPer + SuppTitAut;Non;;;;;;;;;entier;Titres;;;;;;;;SD;
;;;Unités matérielles;;;;;;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;UnitMatLiv;CollS2;;Livres imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;3 000 000;N-Bl;;-5%;5%;SD;
;;;;UnitMatAut;CollS9;;Autres documents sur support matériel;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;10 000 000;N-Bl;;-5%;5%;SD;
;;;;UnitMatTot;nouveau;;s/total unités matérielles;;;;SO;;Calculée;UnitMatLiv + UnitMatAut;Non;;;;;;;;;entier;Unités Mat;;;;;;;;SD;
;;;Mètres linéaires;;;;;;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SuppMlLiv;CollS3;;Livres imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;SuppMlPer;CollS6;;Périodiques imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;SuppMlAut;CollS10;;Autres documents sur support matériel;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;SuppMLTot;nouveau;;s/total mètres linéaires;;;;SO;;Calculée;SuppMlLiv + SuppMlPer + SuppMlAut;Non;;;;;;;;;entier;ML;;;;;;;;SD;
;;;dont ML en libre accès;;;;;;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;MLAccesLiv;CollS4;;Livres imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesPer;CollS7;;Périodiques imprimés;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesAut;CollS11;;Autres documents sur support matériel;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;MLAccesTot;nouveau;;s/total mètres linéaires en libre accès;;;;SO;;Calculée;MLAccesLiv + MLAccesPer + MLAccesAut;Non;;;;;;;;;entier;ML;;;;;;;;SD;
;Part des collections signalées dans le Sudoc;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;Sudoc;CollS12;;Si vous n'êtes pas membre du réseau SUDOC, cochez cette case;;;;Oui groupée;N;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;boolean;;;;;;;;;SD;
;;;;SudocPart;CollS13;;Part des collections sur support matériel signalées dans le SUDOC;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;%;31-12;0;100;N-Bl;;-10%;10%;SD;
;Documents patrimoniaux sur support;;;;;;;;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Titres;;;;;;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatTitLiv;CollS14;;Livres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatTitPer;CollS17;;Périodiques;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;100 000;N-Bl;;-5%;5%;SD;
;;;;PatTitAut;CollS19;;Autres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-5%;5%;SD;
;;;;PatTitTot;nouveau;;s/total titres;;;;SO;;Calculée;PatTitLiv + PatTitPer + PatTitAut;Non;;;;;;;;;entier;Titres;;;;;;;;SD;
;;;Unités matérielles;;;;;;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatUnitMatLiv;CollS15;;Livres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatUnitMatAut;CollS20;;Autres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;31-12;0;2 000 000;N-Bl;;-5%;5%;SD;
;;;;PatUnitMatTot;nouveau;;s/total unités matérielles;;;;SO;;Calculée;PatUnitMatLiv + PatUnitMatAut;libre;;;;;;;;;entier;Unités Mat;31-12;;;;;;;SD;
;;;Mètres linéaires;;;;;;;;oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PatMLLiv;CollS16;;Livres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;PatMLPer;CollS18;;Périodiques;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;50 000;N-Bl;;-5%;5%;SD;
;;;;PatMLAut;CollS21;;Autres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;ML;31-12;0;10 000;N-Bl;;-5%;5%;SD;
;;;;PatMLTot;nouveau;;s/total ML;;;;SO;;Calculée;PatMLLiv + PatMLPer + PatMLAut;Non;;;;;;;;;entier;ML;31-12;;;;;;;SD;
Collections numériques (Stocks);;;;;;;;;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation numérique produite au sein de l’établissement;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Unités documentaires;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNNumerise;CollN1;;Documents numérisés (livres, revues, thèses, autres);;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNTheseNum;CollN3;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques);;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;50 000;N-Bl;;-20%;20%;SD;
;;;;ColNPedago;CollN5;;Documents pédagogiques signalés par la structure documentaire;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;1 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNProdTot;nouveau;;Total Unités documentaires;;;;SO;;Calculée;ColNNumerise + ColNTheseNum + ColNPedago;Non;;;;;;;;;entier;Unités Doc;31-12;;;;;;;SD;
;;;;ColNAccLibre;CollN7;;Dont documentation numérique produite en accès libre  (en % du total) - Nb d'unités documentaires;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;31-12;0;100;Bl;;;;SD;
;;;Giga octets;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNNumeriseGo;CollN2;;Documents numérisés (livres, revues, thèses, autres) - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNTheseNumGo;CollN4;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNPedagoGo;CollN6;;Documents pédagogiques signalés par la structure documentaire - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNProdTotGo;nouveau;;Total Giga Octets;;;;SO;;Calculée;ColNNumeriseGo + ColNTheseNumGo + ColNPedagoGo;Non;;;;;;;;;entier;;;;;;;;;SD;
;;;;ColNAccLibreGo;CollN8;;Dont documentation numérique produite en accès libre  (en % du total) - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;Documentation numérique acquise définitivement par l’établissement;;;;;;;;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Nombre;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNAcqRess;CollN9;;Services/ressources - Nombre;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;;;;;;;SD;
;;;;ColNAcqTitLiv;CollN11;;Titres de livres électroniques signalés - Nombre;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;ColNAcqTitPer;CollN13;;Titres de périodiques électroniques signalés - Nombre;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;1 000 000;N-Bl;;-20%;20%;SD;
;;;Giga octets;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;ColNAcqRessGo;CollN10;;Services/ressources - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNAcqTitLivGo;CollN12;;Titres de livres électroniques signalés - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
;;;;ColNAcqTitPerGo;CollN14;;Titres de périodiques électroniques signalés - Giga octets;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;31-12;;;;;;;SD;
Collections (flux);;;;;;;;;;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Documentation sur support;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Entrées de documents;;;;;;;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntTitLivFr;Flux1;;Livres français - Entrées de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitlivEt;Flux5;;Livres étrangers - Entrées de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitLivTot;nouveau;;s/total entrtées livres titres;;;;SO;;Calculée;EntTitLivFr + EntTitlivEt;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;;EntTitPer;Flux11;;Périodiques - Entrées de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitAut;Flux13;;Autres - Entrées de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTitTot;nouveau;;Total entrtées titres;;;;SO;;Calculée;EntTitLivFr + EntTitlivEt + EntTitPer + EntTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntVolLivFr;Flux2;;Livres français - Entrées de documents - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolLivEt;Flux6;;Livres étrangers - Entrées de documents - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolLivTot;nouveau;;s/total entrtées livres Volumes ou unités matérielles;;;;SO;;Calculée;EntVolLivFr + EntVolLivEt;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;;;EntVolAut;Flux14;;Autres - Entrées de documents - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntVolTot;nouveau;;Total entrtées Volumes ou unités matérielles;;;;SO;;Calculée;EntVolLivFr + EntVolLivEt + EntVolAut;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;Acquisitions non onéreuses;;;;;;;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;DonTitLivFr;Flux3;;Livres français - Acquisition non onéreuses - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitLivEt;Flux7;;Livres étrangers - Acquisition non onéreuses - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitLivTot;nouveau;;s/total acquisitions non onéreuses livres titres;;;;SO;;Calculée;DonTitLivFr + DonTitLivEt;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;;DonTitPer;Flux30;;Périodiques - Acquisition non onéreuses - Titres;;;;Oui supra;N;Saisie;;libre;;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitAut;Flux15;;Autres - Acquisition non onéreuses - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonTitTot;nouveau;;s/total acquisitions non onéreuses titres;;;;SO;;Calculée;DonTitLivFr + DonTitLivEt + DonTitPer + DonTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;DonVolLivFr;Flux4;;Livres français - Acquisition non onéreuses - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolLivEt;Flux8;;Livres étrangers - Acquisition non onéreuses - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolLivTot;nouveau;;s/total acquisitions non onéreuses livres volumes ou UM;;;;SO;;Calculée;DonVolLivFr + DonVolLivEt;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;;;DonVolAut;Flux16;;Autres - Acquisition non onéreuses - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;;;SD;
;;;;DonVolTot;nouveau;;s/total acquisitions non onéreuses volumes ou UM;;;;SO;;Calculée;DonVolLivFr + DonVolLivEt + DonVolAut;Non;;;;;;;;;entier;Unités Mat;année civile;;;;;;;SD;
;;Sorties de documents;;;;;;;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;Titres;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SorTitLivTot;Flux9;;Total livres français et étrangers - Sorties de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitPer;Flux12;;Périodiques - Sorties de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitAut;Flux17;;Autres - Sorties de documents - Titres;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorTitTot;nouveau;;Total sorties titres;;;;SO;;Calculée;SorTitLivTot + SorTitPer + SorTitAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;;;Volumes ou UM;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;SorVolLiv;Flux10;;Total livres français et étrangers - Sorties de documents - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorVolAut;Flux18;;Autres - Sorties de documents - Volumes ou UM;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Mat;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;SorVolTot;nouveau;;Total sorties volumes ou UM;;;;SO;;Calculée;SorVolLiv + SorVolAut;Non;;;;;;;;;entier;Titres;année civile;;;;;;;SD;
;Documentation numérique gérée par l'établissement;;;;;;;;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Documentation numérique produite au sein de l’établissement;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Entrées de documents / Unité documentaires;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumerise;Flux19;;Documents numérisés (livres, revues, thèses, autres) - Entrées de documents - Nombre d'unités documentaires;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntTheseNum;Flux21;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Entrées de documents - Nombre d'unités documentaires;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntPedago;Flux23;;Documents pédagogiques - Entrées de documents - Nombre d'unités documentaires;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Unités Doc;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;;EntProdTot;nouveau;;s/total documentation numérique produite Unités matérielles;;;;SO;;Calculée;EntNumerise + EntTheseNum + EntPedago;Non;;;;;;;;;entier;Unités Doc;année civile;;;;;;;SD;
;;;Entrées de documents / Giga Octets;;;;;;;;Non;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumeriseGo;Flux20;;Documents numérisés (livres, revues, thèses, autres) - Entrées de documents - Giga octets;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntTheseNumGo;Flux22;;Thèses, HDR, mémoires et travaux universitaires (nativement numériques) - Entrées de documents - Giga octets;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntPedagoGo;Flux24;;Documents pédagogiques - Entrées de documents - Giga octets;;;;Oui supra;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;EntProdTotGo;nouveau;;;;;;SO;;Calculée;EntNumeriseGo + EntTheseNumGo + EntPedagoGo;Non;;;;;;;;;;;;;;;;;;SD;
;;Documentation numérique acquise définitivement par l’établissement;;;;;;;;;Oui groupée;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Entrées de documents / Titres;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumAcq;Flux25;;Documentation acquise (stockage par l'établissement) - Entrées de documents - Titres;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;année civile;0;100 000;N-Bl;;-40%;40%;SD;
;;;Entrées de documents / Giga Octets;;;;;;;;Oui supra;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;EntNumAcqGo;Flux26;;Documentation acquise (stockage par l'établissement) - Entrées de documents - Giga octets;;;;Oui groupée;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;dec2;Go;année civile;;;;;;;SD;
;;;;NumGereeTot;nouveau;;Total Documentation numérique gérée par l’établissement / Titres ou Nb d’unités documentaires;;;;SO;;Calculée;EntNumerise + EntTheseNum + EntPedago + EntNumAcq;Non;;;;;;;;;entier;;année civile;;;;;;;SD;
;;;;NumGereeTotGo;nouveau;;Total Documentation numérique gérée par l’établissement / Go;;;;SO;;Calculée;EntNumeriseGo + EntTheseNumGo + EntPedagoGo + EntNumAcqGo;Non;;;;;;;;;;;;;;;;;;SD;
;Documentation numérique mise à disposition des usagers;;;;;;;;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Services ressources;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbNumSouscrite;Flux27;;Services/ressources : nombre de souscriptions en cours au 31.12;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;31-12;0;;;;;;SD;
;;Titres signalés dans une liste alphabétique du système d’information ou du catalogue;;;;;;;;;Oui;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NumSignalePer;Flux28;;Périodiques électroniques;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;NumSignaleLiv;Flux29;;Livres électroniques;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Titres;31-12;0;5 000 000;N-Bl;;-40%;40%;SD;
;;;;NumSignaleTot;nouveau;;Total titres signalés …;;;;SO;;Calculée;NumSignalePer + NumSignaleLiv;Non;;;;;;;;;entier;Titres;31-12;;;;;;;SD;
Publics;;;;;;;;;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Fréquentation;;;;;;;;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbEntrees;Pub2;;Nombre d'entrées au cours de l'année civile;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;10 000 000;N-Bl;;-25%;25%;SD;
;;Expositions visites et animations;;;;;;;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;NbExpos;Us11;;Nombre d'expositions organisées;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;1 000;N-Bl;;;;SD;
;;;;NbAutManif;Us12;;Autres manifestations;;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;1 000;N-Bl;;;;SD;
